Artikul;Nomenklatura;Ves;Obyem;Koeffitsient;Nomenklaturnaya gruppa;Nomenklatura.Assortimentnaya gruppa;Nomenklatura. Proekty Misteriya;Nomenklatura.Kategoriya;Nomenklatura.Osnovnoy postavschik
182272;Bokal d/martini, 0.1l, prozrachn., kristall, PS;3,2;0,075;32;Bokaly;Bokaly;1. Odnorazovaya posuda;snyat s prodazh;DENIRO OOO
112525;Bokal d/martini, d/khol., 0.15l, s chernoy nozhkoy, prozrachn., kristall, PS;7;0,079;0,222;Bokaly;Bokaly;1. Odnorazovaya posuda;snyat s prodazh;DI-PLAST lite plastmass  OOO
181955;Bokal d/piva, 0.5l, prozrachn., SAN;1;0,01;1;Bokaly;Bokaly;1. Odnorazovaya posuda;snyat s prodazh;Gold Plast S.p.a.
591330a;Bokal d/vina, 0.20l, kristall, PS;9;0,06;79;Bokaly;Bokaly;1. Odnorazovaya posuda;pod zakaz;ASSORTI-TVER OOO
182260/;Bokal d/vina, 0.2l, prozrachn., kristall, PS;1,3;0,023;12;Bokaly;Bokaly;1. Odnorazovaya posuda;snyat s prodazh;ASSORTI-TVER OOO
182261;Bokal d/vina, 0.20l, kristall, PS;1,2;0,021;12;Bokaly;Bokaly;1. Odnorazovaya posuda;X5 Retail Group;ASSORTI-TVER OOO
182260/p;Bokal d/vina, 0.2l, kristall, PS;9;0,06;79;Bokaly;Bokaly;1. Odnorazovaya posuda;X5 Retail Group;ASSORTI-TVER OOO
182264;Bokal d/vina, 0.2l, kristall, PS 527744;1,3;0,023;12;Bokaly;Bokaly;1. Odnorazovaya posuda;Komus;ASSORTI-TVER OOO
112740;Bokal d/vina, 0.2l, prozrachn., kristall, PS;8,05;0,079;0,54;Bokaly;Bokaly;1. Odnorazovaya posuda;;ASSORTI-TVER OOO
182271/;Bokal d/vina, 0.2l, prozrachn., kristall, PS;3,5;0,025;10;Bokaly;Bokaly;1. Odnorazovaya posuda;;VZLP OOO
112649;Bokal d/vina, 0.25l, h 180mm, (na vysokoy nozhke), prozrachn., (na vysokoy nozhke), PS;2,5;0,033;0,1;Bokaly;Bokaly;1. Odnorazovaya posuda;pod zakaz;VZLP OOO
182272/;Bokal d/martini, 0.1l, prozrachn., kristall, PS;3,2;0,075;32;Bokaly;Bokaly;1. Odnorazovaya posuda;<>;VZLP OOO
591330b;Bokal d/vina, 0.20l, kristall, PS;1,3;0,012;12;Bokaly;Bokaly;1. Odnorazovaya posuda;TsPP;VZLP OOO
112741;Bokal d/vina, 0.2l, prozrachn., kristall, PS;8,05;0,08;0,54;Bokaly;Bokaly;1. Odnorazovaya posuda;pod zakaz;VZLP OOO
592025;Bokal dlya shamp.plast 135 ml 8 sht/up;1,85;0,019;10;Bokaly;Bokaly;1. Odnorazovaya posuda;TsPP;DYuNI RUS OOO
591330v;Bokal d/vina, 0.2l, kristall, PS;10;0,133;144;Bokaly;Bokaly;1. Odnorazovaya posuda;TsPP;VZLP OOO
218463;"Folga 29sm*50m ""Osobo prochnaya"" (14mkm), v plenke";3;0,012;15;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;;METALLPEYPER-M OOO
218253;"Folga 29sm*10m ""Osobo prochnaya"" (14 mkm) v plenke";4,1;0,012;20;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;;METALLPEYPER-M OOO
218482;"Folga 29sm*100m ""Universalnaya"" (11 mkm)";9,8;0,015;14;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;;METALLPEYPER-M OOO
218336;"Folga 44sm*10m ""Gril"" (20 mkm) v plenke";3;0,015;10;Folga 44 sm ot 15 mkm;Folga;4. Polietilenovaya upakovka;pod zakaz;METALLPEYPER-M OOO
218222;"Folga 29sm*10m ""Universalnaya"" (11 mkm) v plenke";4;0,015;30;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;pod zakaz;METALLPEYPER-M OOO
218253/;"Folga 29sm*10m ""Osobo prochnaya"" (14 mkm) v plenke";4,1;0,012;20;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;Marketpleys Wildberries;METALLPEYPER-M OOO
218222/;"Folga 29sm*10m ""Universalnaya"" (11 mkm) v plenke";4;0,015;30;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;Marketpleys Wildberries;METALLPEYPER-M OOO
218540m;"Folga 44sm*80m ""Osobo prochnaya"" (20 mkm)";6,1;0,015;8;Folga 44 sm ot 15 mkm;Folga;4. Polietilenovaya upakovka;;METALLPEYPER-M OOO
218292a;"Folga 29sm*25m ""Universalnaya"" (11 mkm) v plenke";3,5;0,015;20;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;pod zakaz;METALLPEYPER-M OOO
218536m;"Folga 44sm*80m ""Osobo prochnaya"" (20 mkm) v plenke";6,1;0,015;8;Folga 44 sm ot 15 mkm;Folga;4. Polietilenovaya upakovka;Defitsit tovara;METALLPEYPER-M OOO
218405;"Folga 29smkh80m ""Universalnaya"" (11mkm) v plenke";12,8;0,017;12;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;pod zakaz;RUSAL - Sayanskaya folga OOO
2182211;"Folga 29smkh5m ""Universalnaya"" (11 mkm) v plenke";3,2;0,018;35;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;;RUSAL - Sayanskaya folga OOO
218462;"Folga 29smkh50m ""Osobo prochnaya"" (14mkm) v plenke";7,4;0,011;15;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
218252;"Folga 29smkh10m ""Osobo prochnaya"" (14 mkm) v plenke";3,857;0,025;35;Folga 29 (30) sm 10-14 mkm;Folga;4. Polietilenovaya upakovka;snyat s proizvodstva;RUSAL - Sayanskaya folga OOO
182260;Bokal d/vina, 0.2l, prozrachn., kristall, PS;1,1;0,012;12;Bokaly;Bokaly;1. Odnorazovaya posuda;;VZLP OOO
263013a;Upakovka 1(0.8+0.2)l, kvadratn., vnesh. 153kh152kh86mm, vnutr. 140kh140kh81, prozrachn., OPS;8,08;0,132;0,66;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
262097;Upakovka pryam. vnesh. 157kh136kh67mm, vnutr. 128x108x59mm, 0,4kg, prozrachnaya, OPS;10,2;0,08;0,48;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
263012a;Upakovka 1(0.8+0.2)l, kvadratn., vnesh. 153kh152kh86mm, vnutr. 140kh140kh81mm, prozrachn., OPS;8,52;0,116;0,57;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
263018;Upakovka 1(0.8+0.2)l, kvadratn., vnesh. 152kh152kh73mm, vnutr. 139kh139kh65mm, prozrachn., OPS;4,2;0,127;0,57;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
263013b;Upakovka 1(0.8+0.2)l, kvadratn., vnesh. 153kh152kh86mm, vnutr. 140kh140kh81mm, prozrachn., OPS;7,15;0,114;0,57;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
263014a;Upakovka 1(0.8+0.2)l, kvadratn., vnesh. 153kh152kh86mm, vnutr. 140kh140kh81mm, prozrachn., OPS;6,69;0,171;0,57;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 150-159 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
262095a;Upakovka 0,98(0.48+0.5)l, vnesh. 185kh112kh72mm, vnutr. 160kh80kh64mm, prozrachn., OPS;11;0,154;0,55;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 160-199 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
262095;Upakovka pryam. vnesh. 185kh112kh71mm, vnutr. 160x80x64mm, 0,4kg, prozrachnaya, OPS;10,1;0,14;0,5;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy 160-199 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
902011;Kovrik na stol Bantex 49kh65sm seryy;2,1;0,01;5;Oborudovanie;Oborudovanie;4. Polietilenovaya upakovka;pod zakaz;KOMUS OOO
85304;Komplekt Genius KV KM-110Kh(klaviatura KV-110Kh, mysh NetScroll 120, USB black color);;;1;Oborudovanie;Oborudovanie;6. Raskhodnye materialy (prochie);dlya Mist.- Don;Ofisnyy mir KM
85305;Mobilnyy telefon ALCATEL  0T1013D;;;1;Oborudovanie;Oborudovanie;6. Raskhodnye materialy (prochie);dlya Mist.- Don;Media-Markt-Saturi
219220;Veshalo V-obraznoe  khrom (krugl. sechenie);7,5;0,1;1;Oborudovanie;Oborudovanie;6. Raskhodnye materialy (prochie);snyat s prodazh;Vest-Kompani
591925;Fleksoforma;1;0,04;1;Oborudovanie;Oborudovanie;3. Servirovka stola i tovary dlya klininga;ChTM;PTP FABRIKA UPAKOVKI OOO
432117;Obluchatel-retsirkulyator Svetofon 15 M (2 lampy);2,8;0,05;1;Oborudovanie;Oborudovanie;3. Servirovka stola i tovary dlya klininga;pod zakaz;
432096;Indikator steril. MedIS-V-180/60-1;13,2;0,022;120;Oborudovanie;Oborudovanie;3. Servirovka stola i tovary dlya klininga;pod zakaz;M`ARS INTERNEYShNL  OOO
8156001;Forma bez nozha dlya zapayki konteynera razmer 230kh290 mm;3,7;0,03;1;Oborudovanie;Oborudovanie;2. Upakovka;pod zakaz;KP OOO
219260;"Termoupakovschik ""Goryachiy stol"" TW-450(GW-460)";10;0,06;1;Oborudovanie;Oborudovanie;4. Polietilenovaya upakovka;pod zakaz;ZAPAD-VOSTOK OOO
455096v;Tsennikoderzhatel na kryuchok otkidnoy LH39, dlina 70 mm, tsvet prozrachnyy;0,05;0,001;100;Oborudovanie;Oborudovanie;3. Servirovka stola i tovary dlya klininga;pod zakaz;EVROPOS GRUPP OOO
219251;Zapayschik KS-300  shov 2 mm kh 300 mm;5;0,023;1;Oborudovanie;Oborudovanie;4. Polietilenovaya upakovka;pod zakaz;ZAPAD-VOSTOK OOO
219252;Zapayschik KS-400  shov 2 mm kh 400 mm mettalicheskiy, bez nozha;4;0,022;1;Oborudovanie;Oborudovanie;4. Polietilenovaya upakovka;pod zakaz;ZAPAD-VOSTOK OOO
219261;Komplekt zapasnykh chastey dlya goryachego stola SW-450(GW-460)/zapayschika;1;0,001;1;Oborudovanie;Oborudovanie;4. Polietilenovaya upakovka;pod zakaz;ZAPAD-VOSTOK OOO
219235;Dispenser dlya kleykoy lenty UNIBOB T290RP;3,3;0,002;1;Oborudovanie;Oborudovanie;4. Polietilenovaya upakovka;pod zakaz;SOYuZPAK OOO
8156000;Apparat dlya zapayki konteynerov ruchnoy KR-200 max razmer 200kh273 mm;12;0,05;1;Oborudovanie;Oborudovanie;2. Upakovka;pod zakaz;KP OOO
501303;"Komplekt""3"" (st.l-z/ch-salf)";2;0,046;0,3;"Komplekty 3 ""Lozhka st.+Salfetka+Zubochistka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501205;"Komplekt ""2"" (n. prozr-salf)";3;0,038;0,25;"Komplekty 2 ""Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501220/;"Komplekt ""2"" (n-salf)";3;0,038;0,4;"Komplekty 2 ""Nozh+Salfetka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
501770a;"Komplekt ""7"" (v-st.l-n-s/p-z/ch-salf)";4,5;0,043;0,2;"Komplekty 7 ""Lozhka st.+Vilka+Nozh+Salfetka+Zubochistka+Sol+Perets""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;YuMIPAK OOO
592027;Vilki+nozhi plast po 10 sht roz BBQ;1,65;0,007;15;Komplekty stolovykh priborov na neskolko person;Komplekty stolovykh priborov;1. Odnorazovaya posuda;TsPP;DYuNI RUS OOO
592026;Vilki+nozhi plast po 10 sht sinie BBQ;2,1;0,007;15;Komplekty stolovykh priborov na neskolko person;Komplekty stolovykh priborov;1. Odnorazovaya posuda;TsPP;DYuNI RUS OOO
501103a;"Komplekt ""1"" (ch. lozhka)";1,7;0,023;0,7;"Komplekty 1 ""Lozhka ch.""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;;DIAPAZON AO
501101a;"Komplekt ""1"" (vilka)";1,5;0,024;0,4;"Komplekty 1 ""Vilka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;snyat s proizvodstva;DIAPAZON AO
501103;"Komplekt ""1"" (ch. lozhka)";3;0,087;1;"Komplekty 1 ""Lozhka ch.""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;KhORTA OOO
501101;"Komplekt ""1"" (vilka)";3,81;0,087;1;"Komplekty 1 ""Vilka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;KhORTA OOO
501101z;"Komplekt ""1"" (zelenaya vilka)";3,2;0,091;1;"Komplekty 1 ""Vilka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;KhORTA OOO
187446;Nabor stolovykh priborov, salat., (vilka,lozhka st., nozh, lozhka ch.) na 5 person;1,5;0,023;20;Komplekty stolovykh priborov na neskolko person;Komplekty stolovykh priborov;1. Odnorazovaya posuda;snyat s prodazh;VZLP OOO
501111;"Komplekt ""1"" (vilka chern. kristall)";2,1;0,036;0,3;"Komplekty 1 ""Vilka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;VZLP OOO
174100;"Komplekt ""1"" (vilka 173,5mm, chern., PP) 50 kompl/up 6 up/kor";3,5;0,038;6;"Komplekty 1 ""Vilka""";Komplekty stolovykh priborov;1. Odnorazovaya posuda;pod zakaz;VZLP OOO
261559;Upakovka 0.92l, kvadratn., vnesh. 132kh131kh78mm, vnutr. 122kh116kh69mm, prozrachn., OPS;4;0,096;0,6;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
261570;Upakovka kvadrat vnesh. 132kh132kh60mm, vnutr.118x118x55mm, prozrachnaya, PVKh;20;0,15;1,2;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;PLASTFERPAK OOO
261150;Upakovka kvadrat vnesh. 121kh119kh60mm, vnutr.97x96x52mm, 0,25kg, prozrachnaya, OPS,  RK-10 (M);7,1;0,086;0,6;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;TSK KOMUS OOO
261373;Upakovka 0,64(0.54+0.1)l, kvadratn., vnesh. 132kh131kh58mm, vnutr. 122kh116kh49mm, prozrachn., OPS;6,9;0,09;0,6;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;TSK KOMUS OOO
261376;Upakovka kvadratn., vnesh. 130kh130kh(46,5+33,0)mm, vnutr. 110kh110kh70mm, s kryshkoy, prozrachn., PET;8,4;0,091;0,6;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;;UPAKS-YuNITI OOO
826203r;Upakovka 860ml, kvadratn., vnesh. 129kh129kh65mm, vnutr. 103kh103kh60mm, prozrachn.;7,26;0,14;0,75;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;pod zakaz;INLAYN-R
261560a;Upakovka 0.92l, kvadratn., vnesh. 132kh131kh78mm, vnutr. 122kh116kh69mm, prozrachn., OPS;4;0,096;0,6;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy pryamougolnaya dlinoy do 135 mm;Upakovka dlya konditerskikh izdeliy plastikovaya s nerazyemnoy kryshkoy;2. Upakovka;vremenno ne proizvoditsya;TSK KOMUS OOO
