iter	Passed	Remaining
0	172	171846
1	190	94885
2	207	68991
3	225	56094
4	247	49247
5	267	44248
6	286	40599
7	306	38063
8	324	35690
9	336	33310
10	350	31545
11	365	30092
12	381	28972
13	398	28089
14	415	27278
15	434	26738
16	458	26492
17	473	25837
18	488	25232
19	503	24675
20	516	24079
21	527	23463
22	542	23059
23	557	22665
24	571	22283
25	584	21890
26	595	21466
27	610	21177
28	624	20926
29	639	20675
30	656	20531
31	671	20326
32	690	20222
33	705	20042
34	721	19884
35	736	19734
36	754	19640
37	770	19507
38	786	19380
39	802	19269
40	816	19099
41	832	18978
42	847	18865
43	893	19403
44	911	19349
45	924	19182
46	938	19039
47	954	18926
48	970	18841
49	987	18765
50	1004	18686
51	1018	18568
52	1033	18463
53	1048	18375
54	1066	18320
55	1083	18269
56	1099	18190
57	1114	18099
58	1130	18032
59	1144	17931
60	1161	17874
61	1177	17810
62	1192	17742
63	1208	17671
64	1219	17541
65	1233	17460
66	1249	17397
67	1265	17342
68	1282	17306
69	1302	17301
70	1317	17234
71	1332	17171
72	1348	17126
73	1371	17156
74	1389	17132
75	1404	17070
76	1417	16996
77	1433	16944
78	1482	17287
79	1522	17508
80	1548	17572
81	1580	17696
82	1605	17740
83	1629	17766
84	1651	17776
85	1670	17756
86	1695	17797
87	1715	17776
88	1736	17773
89	1754	17741
90	1776	17741
91	1795	17716
92	1813	17689
93	1831	17651
94	1849	17623
95	1868	17597
96	1888	17576
97	1914	17616
98	1938	17644
99	1957	17616
100	1978	17607
101	1999	17599
102	2016	17565
103	2031	17498
104	2047	17453
105	2063	17405
106	2078	17347
107	2094	17297
108	2110	17255
109	2130	17241
110	2158	17284
111	2189	17358
112	2221	17441
113	2265	17610
114	2306	17749
115	2333	17783
116	2354	17772
117	2371	17723
118	2387	17675
119	2403	17622
120	2419	17577
121	2435	17528
122	2450	17475
123	2466	17424
124	2481	17369
125	2495	17309
126	2509	17250
127	2521	17177
128	2537	17131
129	2552	17083
130	2569	17045
131	2586	17006
132	2605	16983
133	2629	16990
134	2649	16974
135	2674	16990
136	2695	16982
137	2715	16960
138	2732	16927
139	2749	16892
140	2767	16858
141	2783	16819
142	2800	16781
143	2815	16738
144	2832	16702
145	2847	16653
146	2862	16611
147	2877	16563
148	2891	16516
149	2907	16475
150	2922	16429
151	2935	16378
152	2947	16317
153	2972	16330
154	2993	16320
155	3021	16347
156	3043	16340
157	3061	16315
158	3080	16295
159	3099	16274
160	3113	16222
161	3125	16170
162	3145	16153
163	3157	16095
164	3172	16054
165	3187	16015
166	3202	15975
167	3220	15947
168	3235	15908
169	3250	15871
170	3265	15829
171	3279	15786
172	3293	15743
173	3304	15686
174	3319	15650
175	3333	15605
176	3348	15571
177	3364	15536
178	3380	15503
179	3395	15467
180	3410	15434
181	3426	15401
182	3442	15370
183	3457	15331
184	3468	15280
185	3483	15245
186	3500	15218
187	3516	15188
188	3530	15150
189	3545	15115
190	3561	15083
191	3574	15044
192	3588	15004
193	3599	14954
194	3614	14921
195	3630	14891
196	3646	14864
197	3662	14835
198	3677	14801
199	3692	14768
200	3706	14733
201	3722	14704
202	3736	14668
203	3748	14624
204	3763	14593
205	3776	14557
206	3791	14524
207	3806	14493
208	3820	14458
209	3834	14424
210	3846	14383
211	3867	14376
212	3878	14332
213	3893	14299
214	3907	14267
215	3921	14234
216	3936	14204
217	3953	14181
218	3967	14147
219	3977	14103
220	3993	14075
221	4019	14085
222	4033	14052
223	4044	14010
224	4059	13981
225	4079	13972
226	4091	13931
227	4106	13904
228	4122	13878
229	4137	13851
230	4153	13828
231	4169	13801
232	4183	13772
233	4198	13743
234	4212	13712
235	4222	13670
236	4238	13644
237	4252	13614
238	4267	13589
239	4282	13562
240	4300	13542
241	4314	13514
242	4329	13487
243	4342	13455
244	4353	13416
245	4368	13390
246	4385	13369
247	4400	13344
248	4416	13319
249	4430	13290
250	4443	13260
251	4458	13232
252	4470	13198
253	4484	13171
254	4501	13152
255	4516	13126
256	4531	13099
257	4547	13079
258	4561	13051
259	4576	13025
260	4592	13002
261	4607	12977
262	4621	12950
263	4635	12922
264	4646	12886
265	4659	12857
266	4673	12830
267	4689	12807
268	4704	12784
269	4721	12764
270	4735	12737
271	4747	12705
272	4759	12673
273	4773	12648
274	4789	12626
275	4805	12606
276	4820	12582
277	4835	12558
278	4849	12531
279	4860	12497
280	4873	12470
281	4887	12444
282	4902	12421
283	4918	12400
284	4935	12382
285	4950	12360
286	4964	12333
287	4978	12307
288	4990	12276
289	5005	12255
290	5020	12232
291	5035	12208
292	5049	12183
293	5062	12157
294	5073	12125
295	5086	12096
296	5100	12073
297	5115	12051
298	5133	12034
299	5149	12014
300	5164	11993
301	5179	11970
302	5193	11947
303	5208	11924
304	5223	11903
305	5239	11883
306	5250	11852
307	5265	11831
308	5279	11806
309	5295	11785
310	5312	11769
311	5330	11755
312	5349	11741
313	5371	11735
314	5393	11727
315	5412	11714
316	5432	11703
317	5449	11686
318	5467	11671
319	5480	11645
320	5496	11626
321	5511	11605
322	5527	11585
323	5544	11567
324	5566	11561
325	5587	11552
326	5605	11536
327	5621	11517
328	5639	11501
329	5658	11488
330	5682	11485
331	5704	11478
332	5723	11465
333	5751	11467
334	5772	11459
335	5796	11455
336	5816	11443
337	5835	11429
338	5853	11412
339	5869	11393
340	5884	11371
341	5899	11350
342	5914	11328
343	5929	11307
344	5943	11283
345	5956	11258
346	5968	11232
347	5984	11212
348	5999	11191
349	6015	11170
350	6032	11153
351	6050	11137
352	6066	11118
353	6083	11102
354	6097	11078
355	6112	11057
356	6126	11034
357	6142	11014
358	6155	10990
359	6166	10963
360	6181	10941
361	6196	10920
362	6210	10897
363	6225	10878
364	6243	10861
365	6260	10845
366	6276	10825
367	6293	10808
368	6308	10787
369	6323	10767
370	6338	10746
371	6352	10724
372	6368	10706
373	6386	10689
374	6405	10676
375	6424	10662
376	6443	10647
377	6462	10633
